Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,104.650002,104.699997,104.154999,104.199997,104.199997,22155
2022-05-17,104.175003,104.260002,103.250000,103.406998,103.406998,28483
2022-05-18,103.349998,103.959999,103.235001,103.862000,103.862000,30634
2022-05-19,103.870003,103.934998,102.695000,102.750999,102.750999,28633
2022-05-20,102.949997,103.294998,102.805000,103.172997,103.172997,20450
2022-05-23,103.019997,103.070000,102.044998,102.097000,102.097000,31089
2022-05-24,102.144997,102.334999,101.654999,101.870003,101.870003,28494
2022-05-25,101.760002,102.470001,101.750000,102.077003,102.077003,22752
2022-05-26,102.099998,102.290001,101.760002,101.858002,101.858002,13822
2022-05-27,101.750000,101.955002,101.455002,101.697998,101.697998,16944
2022-05-30,101.669998,101.735001,101.300003,101.305000,101.305000,10529
2022-05-31,101.419998,102.205002,101.419998,101.765999,101.765999,20169
2022-06-01,101.769997,102.750000,101.769997,102.528999,102.528999,19394
2022-06-02,102.599998,102.644997,101.745003,101.832001,101.832001,21907
2022-06-03,101.779999,102.245003,101.660004,102.160004,102.160004,14929
2022-06-06,102.230003,102.474998,101.864998,102.446999,102.446999,20895
2022-06-07,102.474998,102.849998,102.260002,102.324997,102.324997,26221
2022-06-08,102.404999,102.779999,102.264999,102.545998,102.545998,34466
2022-06-09,102.589996,103.364998,102.089996,103.218002,103.218002,32613
2022-06-10,103.300003,104.235001,103.059998,104.151001,104.151001,18284
2022-06-13,104.290001,104.824997,104.290001,104.946999,104.946999,53583
2022-06-14,105.004997,105.474998,104.480003,105.342003,105.342003,33465
2022-06-15,105.129997,105.565002,104.425003,104.934998,104.934998,61624
2022-06-16,104.599998,105.279999,103.199997,103.417000,103.417000,45613
2022-06-17,103.684998,104.885002,103.639999,104.487999,104.487999,33356
2022-06-20,104.500000,104.589996,104.014999,104.487999,104.487999,12231
2022-06-21,104.245003,104.315002,103.730003,104.210999,104.210999,15502
2022-06-22,104.214996,104.730003,103.614998,103.981003,103.981003,27611
2022-06-23,104.000000,104.544998,103.839996,104.192001,104.192001,33253
2022-06-24,104.154999,104.279999,103.739998,103.959000,103.959000,26025
2022-06-27,103.864998,103.995003,103.419998,103.678001,103.678001,21545
2022-06-28,103.705002,104.370003,103.504997,104.261002,104.261002,20862
2022-06-29,104.269997,104.894997,104.139999,104.848999,104.848999,31697
2022-06-30,104.834999,105.315002,104.404999,104.463997,104.463997,30308
2022-07-01,104.514999,105.440002,104.514999,104.908997,104.908997,20123
2022-07-04,104.910004,105.055000,104.580002,104.908997,104.908997,10924
2022-07-05,104.915001,106.580002,104.834999,106.320000,106.320000,50056
2022-07-06,106.330002,107.070000,106.135002,106.898003,106.898003,38049
2022-07-07,106.870003,107.050003,106.529999,106.959000,106.959000,21332
2022-07-08,106.834999,107.614998,106.639999,106.820999,106.820999,40052
2022-07-11,106.684998,108.084999,106.684998,107.829002,107.829002,25533
2022-07-12,107.995003,108.419998,107.669998,107.912003,107.912003,31342
2022-07-13,108.029999,108.415001,107.269997,107.755997,107.755997,38691
2022-07-14,108.070000,109.139999,108.014999,108.406998,108.406998,42040
2022-07-15,108.440002,108.584999,107.760002,107.911003,107.911003,24425
2022-07-18,107.815002,107.900002,106.745003,107.231003,107.231003,28183
2022-07-19,107.300003,107.489998,106.250000,106.550003,106.550003,39641
2022-07-20,106.555000,107.129997,106.230003,106.953003,106.953003,31195
2022-07-21,106.974998,107.250000,106.300003,106.804001,106.804001,36496
